model,provider,question_id,passage_id,format,run,expected_answer,extracted_answer,is_correct,success,error,duration_seconds,input_tokens,output_tokens
gpt-5.1-2025-11-13,openai,Q-125,P-014,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-126,P-014,abc,1,0.25,0.25,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-127,P-015,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-128,P-015,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-129,P-015,abc,1,E5,E5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-130,P-015,abc,1,E3,E2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-131,P-015,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-132,P-015,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-133,P-015,abc,1,9,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-134,P-015,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-135,P-015,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-136,P-016,abc,1,2,8,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-137,P-016,abc,1,14,16,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-138,P-016,abc,1,B5,B5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-139,P-016,abc,1,G2,G2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-140,P-016,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-141,P-016,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-142,P-016,abc,1,3,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-143,P-016,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-144,P-016,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-145,P-017,abc,1,8,14,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-146,P-017,abc,1,15,14,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-147,P-017,abc,1,A4,A5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-148,P-017,abc,1,B2,B1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-149,P-017,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-150,P-017,abc,1,3,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-151,P-017,abc,1,5,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-152,P-017,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-153,P-017,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-154,P-018,abc,1,2,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-155,P-018,abc,1,7,6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-156,P-018,abc,1,A5,A4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-157,P-018,abc,1,D#2,D2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-158,P-018,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-159,P-018,abc,1,1,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-160,P-018,abc,1,9,9,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-161,P-018,abc,1,3,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-162,P-018,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-163,P-019,abc,1,10,10,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-164,P-019,abc,1,6,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-165,P-019,abc,1,C5,C6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-166,P-019,abc,1,D4,D3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-167,P-019,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-168,P-019,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-169,P-019,abc,1,11,11,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-170,P-019,abc,1,2,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-171,P-019,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-172,P-020,abc,1,8,8,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-173,P-020,abc,1,5,10,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-174,P-020,abc,1,B4,B4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-175,P-020,abc,1,C4,C3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-176,P-020,abc,1,1.5,0.75,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-177,P-020,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-178,P-020,abc,1,13,12,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-179,P-020,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-180,P-020,abc,1,0.25,0.25,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-181,P-021,abc,1,4,12,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-182,P-021,abc,1,16,16,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-183,P-021,abc,1,E5,E5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-184,P-021,abc,1,E3,C2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-185,P-021,abc,1,2,1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-186,P-021,abc,1,3,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-187,P-021,abc,1,11,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-188,P-021,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-189,P-021,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-190,P-022,abc,1,20,20,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-191,P-022,abc,1,7,9,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-192,P-022,abc,1,E4,E5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-193,P-022,abc,1,F2,F2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-194,P-022,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-195,P-022,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-196,P-022,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-197,P-022,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-198,P-022,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-199,P-023,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-200,P-023,abc,1,4,4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-201,P-023,abc,1,D5,D5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-202,P-023,abc,1,N/A,N/A,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-203,P-023,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-204,P-023,abc,1,N/A,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-205,P-023,abc,1,5,1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-206,P-023,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-207,P-023,abc,1,N/A,N/A,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-208,P-024,abc,1,16,16,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-209,P-024,abc,1,7,10,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-210,P-024,abc,1,A4,A5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-211,P-024,abc,1,D2,F2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-212,P-024,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-213,P-024,abc,1,4,4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-214,P-024,abc,1,9,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-215,P-024,abc,1,1,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-216,P-024,abc,1,0.25,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-217,P-025,abc,1,8,8,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-218,P-025,abc,1,9,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-219,P-025,abc,1,A4,A5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-220,P-025,abc,1,E3,A2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-221,P-025,abc,1,0.75,0.25,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-222,P-025,abc,1,5,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-223,P-025,abc,1,3,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-224,P-025,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-225,P-025,abc,1,0.25,0.25,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-226,P-026,abc,1,8,11,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-227,P-026,abc,1,12,12,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-228,P-026,abc,1,F#5,F5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-229,P-026,abc,1,D3,D3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-230,P-026,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-231,P-026,abc,1,6,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-232,P-026,abc,1,12,5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-233,P-026,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-234,P-026,abc,1,1,0.67,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-235,P-027,abc,1,6,8,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-236,P-027,abc,1,12,12,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-237,P-027,abc,1,D5,D5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-238,P-027,abc,1,D3,D3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-239,P-027,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-240,P-027,abc,1,5,6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-241,P-027,abc,1,5,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-242,P-027,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-243,P-027,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-244,P-028,abc,1,3,6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-245,P-028,abc,1,8,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-246,P-028,abc,1,A4,A4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-247,P-028,abc,1,C3,C3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-248,P-028,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-249,P-028,abc,1,2,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-250,P-028,abc,1,2,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-251,P-028,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-252,P-028,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-253,P-029,abc,1,8,8,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-254,P-029,abc,1,5,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-255,P-029,abc,1,F5,F5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-256,P-029,abc,1,G3,C3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-257,P-029,abc,1,0.75,0.75,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-258,P-029,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-259,P-029,abc,1,1,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-260,P-029,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-261,P-029,abc,1,0.25,0.25,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-262,P-030,abc,1,6,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-263,P-030,abc,1,3,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-264,P-030,abc,1,D5,D5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-265,P-030,abc,1,F#3,A2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-266,P-030,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-267,P-030,abc,1,5,6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-268,P-030,abc,1,1,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-269,P-030,abc,1,2,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-270,P-030,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-271,P-031,abc,1,10,8,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-272,P-031,abc,1,8,8,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-273,P-031,abc,1,F#5,B4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-274,P-031,abc,1,D2,D2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-275,P-031,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-276,P-031,abc,1,4,4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-277,P-031,abc,1,5,5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-278,P-031,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-279,P-031,abc,1,0.13,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-280,P-032,abc,1,6,8,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-281,P-032,abc,1,8,12,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-282,P-032,abc,1,C5,C5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-283,P-032,abc,1,Eb3,C3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-284,P-032,abc,1,1.25,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-285,P-032,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-286,P-032,abc,1,0,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-287,P-032,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-288,P-032,abc,1,0.5,0.5,True,True,,0.0,,
